model;price;km;location;year
Audi A3 1,0 TFSi 116 Sportback ;189.900 kr.;70.000;København;2017
Audi A4 1,8 T 163 Cabriolet ;169.000 kr.;84.000;Nordsjælland;2008
Audi A1 1,0 TFSi 95 Ultra Sportback S-tr. ;234.321 kr.;16.000;Nordjylland;2017
Audi A6 2,8 FSi Multitr. ;174.900 kr.;137.000;Østjylland;2011
Audi A6 2,4 V6 ;29.900 kr.;299.000;Syd- og Sønderjylland;2004
Audi A3 1,4 TFSi 125 Ambition Sportback ;209.900 kr.;78.000;Syd- og Sønderjylland;2016
Audi S4 3,0 TFSi Avant quattro S-tr. ;279.900 kr.;230.000;Syd- og Sønderjylland;2013
Audi A3 1,4 TFSi Ambition Sportback ;129.900 kr.;121.000;Nordsjælland;2012
Audi A6 1,8 TFSi 190 Ultra Avant S-tr. ;359.800 kr.;74.000;Syd- og Vestsjælland;2016
Audi Q3 1,4 TFSi 150 Sport Limited S-tr. ;299.900 kr.;53.000;København;2018
Audi A5 2,0 TFSi 211 Coupé Multitr. ;139.000 kr.;199.000;Østjylland;2010
Audi A3 1,4 TFSi 140 Ambition Sportback S-tr. ;209.900 kr.;82.000;København;2014
Audi A3 1,0 TFSi 116 S-tr. ;234.900 kr.;43.000;Syd- og Vestsjælland;2018
Audi A4 2,0 TFSi 190 Sport Avant ;314.900 kr.;33.000;Syd- og Vestsjælland;2018
Audi Q5 2,0 TFSi 252 Sport quattro S-tr. ;624.900 kr.;49.000;Syd- og Vestsjælland;2018
Audi A1 1,2 TFSi 86 Attraction ;99.800 kr.;87.000;Syd- og Vestsjælland;2011
Audi A4 1,8 TFSi 120 Limited ;185.000 kr.;59.000;Syd- og Vestsjælland;2015
Audi A3 3,2 Ambition quattro DSG ;89.900 kr.;96.000;Nordjylland;2004
Audi A3 1,5 TFSi 150 Sport Sportback S-tr. ;269.700 kr.;28.000;Østjylland;2018
Audi RS6 4,0 TFSi performance Avant quattro ;1.199.500 kr.;89.000;Syd- og Sønderjylland;2017
Audi A5 1,8 TFSi 170 S-line Sportback Multitr. ;199.700 kr.;188.000;Vestjylland;2015
Audi Q3 1,4 TFSi 150 Sport S-tr. ;399.800 kr.;46.000;Østjylland;2018
Audi A5 2,0 TFSi 211 Cabriolet ;215.000 kr.;126.000;Syd- og Vestsjælland;2009
Audi A5 40 TFSi Prestige+ Sportback S-tr. ;479.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A5 1,8 TFSi 144 Limited Sportback Multitr. ;234.900 kr.;151.000;København;2016
