model;type;price;km;location;year;link
Audi A3;Sportback 1,4 E-tron Plugin-hybrid Sport S Tronic 204HK 5d 6g Aut.;239800;58.000;Svenstrup;2018;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron--plugin-hybrid-sport-s-tronic-204hk-5d-6g-aut/1772140
Audi A3;Sportback 1,4 E-tron Sport S Tronic 204HK 5d 6g Aut.;279900;46.000;Aarhus;2017;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron-sport-s-tronic-204hk-5d-6g-aut/1688931
Audi A3;Sportback 1,4 E-tron Plugin-hybrid Attraction S Tronic 204HK 5d 6g Aut.;199900;104.000;Aarhus;2015;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron--plugin-hybrid-attraction-s-tronic-204hk-5d-6g-aut/1735123
Audi A3;Sportback 1,4 E-tron Plugin-hybrid Sport S Tronic 204HK 5d 6g Aut.;329800;5.500;Skjern;2020;https://www.biltorvet.dk/bil/audi/a3/sportback-1-4-e-tron--plugin-hybrid-sport-s-tronic-204hk-5d-6g-aut/1761891
Audi A3;1,4 e-tron Attraction Sportback S-tr.;249900;52.000;Taastrup;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-attraction-sportback-s-tr/1611318
Audi A3;40 TFSi e Prestige Sportback S-tr.;329800;5.000;Horsens;2020;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-prestige-sportback-s-tr/1641012
Audi A3;1,4 e-tron Sport Sportback S-tr.;249800;38.000;Slagelse;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1660284
Audi A3;1,4 e-tron S-line Sportback S-tr.;189900;150.000;Randers;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-s-line-sportback-s-tr/1663734
Audi A3;1,4 e-tron Sportback S-tr.;234700;45.000;Næstved;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1668950
Audi A3;1,4 e-tron Ambition Sportback S-tr.;219900;158.000;Vester Skerninge;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambition-sportback-s-tr/1696254
Audi A3;1,4 e-tron Attraction Sportback S-tr.;149800;190.000;Grindsted;2015;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-attraction-sportback-s-tr/1717966
Audi A3;1,4 e-tron Sportback S-tr.;239900;39.000;Odense;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1727249
Audi A3;1,4 e-tron Sportback S-tr.;229900;19.000;Silkeborg;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1733050
Audi A3;1,4 e-tron Sportback S-tr.;229500;45.000;Nørresundby;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1736601
Audi A3;1,4 e-tron Sportback S-tr.;239900;52.000;Odense;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1737194
